,SMILES,Melting Point
52,CC12CCC3=C(C=CC4=CC(O)=CC=C34)C1CCC2=O,258.0
53,CCC(C(CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,187.0
54,OCC(O)COC(=O)C1=CC=CC=C1NC1=CC=NC2=C1C=CC(Cl)=C2,170.0
55,CC(=O)CCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1,116.0
56,CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12,175.0
57,CC12CCC3C(CCC4CC5SC5CC34C)C1CCC2O,127.0
58,CC12CCC3C(CCC4CC(O)CCC34C)C1CCC2=O,185.0
59,CC12CCC3C(CCC4CC(=O)CCC34C)C1CCC2O,181.0
60,CN1CCN(CCCN2C3=CC=CC=C3SC3=CC=C(Cl)C=C23)CC1,228.0
61,CCN(CC)CCOC(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,114.0
62,CCC1C2CC3C4N(C)C5=CC=CC=C5C44CC(C2C4O)N3C1O,159.0
63,COC1=CC=C2N(C(=O)C=CC3=CC=CC=C3)C(C)=C(CC(O)=O)C2=C1,170.0
64,COC1=CC=C2C(OC(=O)C2=C1OC)C1N(C)CCC2=CC3=C(OCO3)C=C12,132.0
65,CC12CC(O)C3(F)C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,269.0
66,CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2(O)C#C,269.0
67,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,193.0
68,COC1=CC=C2C(OC(=O)C2=C1OC)C1N(C)CCC2=CC3=C(OCO3)C(OC)=C12,176.0
69,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,120.0
70,COC1=CC2=C(C=C1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC34,178.0
71,CC(=O)OC1(CCC2C3C=C(Cl)C4=CC(=O)C=CC4(C)C3CCC12C)C(C)=O,168.0
72,CC(=O)C1(C)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC12C,144.0
73,CC(CC1=CC=CC=C1)NCCC(C1=CC=CC=C1)C1=CC=CC=C1,38.0
74,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(O1)C(=O)CO,293.0
75,CC(C)(C)CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C,168.0
76,O[C@H]1CCN2C1=NC1=CC=CC=C1C2=O,210.0
77,CCCCNC(=O)NS(=O)(=O)C1=CC=CC=C1,131.0
78,CC(C)(C)C(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C,233.0
79,CC12CCC3C(CCC4=CC5=C(CC34C)C=NO5)C1CCC2(O)C#C,235.0
80,NC1=NC=NC2=C1C=CN2C1OC(CO)C(O)C1O,247.0
81,BrC1=CC=C2NC(=O)CN=C(C3=NC=CC=C3)C2=C1,238.0
82,NC1C2CN(CC12)C1=C(F)C=C2C(=O)C(=CN(C3=C(F)C=C(F)C=C3)C2=N1)C(O)=O,246.0
83,CC(C)NCC1CCC2=CC(CO)=C(C=C2N1)N(=O)=O,148.0
84,CC1=NN=C2CN=C(C3=C(Cl)C=CC=C3)C3=C(C=CC(Cl)=C3)N12,234.0
85,COC(=O)NC1=CC(OC(=O)NC2=CC(C)=CC=C2)=CC=C1,143.0
86,CC1=C2NC(=O)C3=CC=CN=C3N(C3CC3)C2=NC=C1,265.0
87,CC1CC2=CC=CC=C2N1NC(=O)C1=CC(=C(Cl)C=C1)S(N)(=O)=O,161.0
88,CC(C)N=C1C=C2N(C3=CC=C(Cl)C=C3)C3=CC=CC=C3N=C2C=C1NC1=CC=C(Cl)C=C1,211.0
89,O=C(CN1C=CN=C1N(=O)=O)NCC1=CC=CC=C1,189.0
90,CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1,97.0
91,C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1,142.0
92,CC(=O)NCC1CN(C(=O)O1)C1=CC(F)=C(C=C1)N1CCOCC1,182.0
93,OC1=C2C=NNC2=NC=N1,350.0
94,[H]OC(=O)C(O\N=C(/C(=O)N([H])[C@]1([H])C(=O)N([C@@]1([H])C([H])([H])[H])S(=O)(=O)O[H])C1=C([H])SC(=N1)N([H])[H])(C([H])([H])[H])C([H])([H])[H],277.0
95,CN1C=NC2=C1C(=O)N(CCCCC(C)=O)C(=O)N2C,105.0
96,CC12CC(O)C3(F)C(CCC4=CC(=O)CCC34C)C1CCC2(O)C(=O)CO,261.0
97,CC1=C(CC(O)=O)C2=CC(F)=CC=C2C1=CC1=CC=C(C=C1)S(C)=O,184.0
98,CCC1(CC)C(=O)NCC(C)C1=O,76.0
99,CCCCC1C(=O)N(N(C1=O)C1=CC=C(O)C=C1)C1=CC=CC=C1,124.0
100,CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(O)=O,67.0
101,CN1CCC23C4OC5=C(OC(C)=O)C=CC(CC1C2C=CC4OC(C)=O)=C35,173.0
102,CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O,225.0
103,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1N(=O)=O)C(=O)OC,173.0
104,COC1=C(OC)C(OC)=C2N=C(N=C(N)C2=C1)N1CCN(CC1)C(=O)OCC(C)(C)O,158.0
105,CSC1=CC=C2SC3=CC=CC=C3N(CCC3CCCCN3C)C2=C1,73.0
106,CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O,244.0
107,CCN(CC)C(=O)CSC1=CC=C(Cl)N=N1,98.0
108,NC1=NC(=O)NC=C1F,296.0
109,NC1CONC1=O,156.0
110,CC1=C(C=CC=C1)N1C(C)=NC2=CC=CC=C2C1=O,120.0
111,CCCCNC(=O)OCC(C)(CCC)COC(N)=O,50.0
112,COC1=C(OCC(O)COC(N)=O)C=CC=C1,93.0
113,COC12C3NC3CN1C1=C(C2COC(N)=O)C(=O)C(N)=C(C)C1=O,360.0
114,NS(=O)(=O)C1=C(Cl)C=C2NC(NS(=O)(=O)C2=C1)C(Cl)Cl,270.0
115,OCC1CCC(O1)N1C=NC2=C(O)N=CN=C12,175.0
116,OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,157.0
117,OC(=O)CC1=CC=CC=C1OC1=C(Cl)C=C(Cl)C=C1,112.0
118,C[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]3CC[C@H](C(=O)CO)[C@]3(C[C@H](O)[C@H]21)C=O,167.0
119,CCCCNC1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)S(N)(=O)=O,231.0
120,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,167.0
121,[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1,237.0
122,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO,181.0
123,CN(C(=O)COC1=NC2=CC=CC=C2S1)C1=CC=CC=C1,135.0
124,[H]C1=C([H])C2=C(O1)C(OC([H])([H])[H])=C1OC(=O)C([H])=C([H])C1=C2[H],148.0
125,[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,225.0
126,CC(=O)O[C@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C#C,162.0
127,CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CCC4=O)[C@@H]3CC=C2C1,147.0
128,CCCOC1=CC2=C(C=C1)[C@@H]([C@H]([C@@H]2C1=C(OCC(O)=O)C=C(OC)C=C1)C(O)=O)C1=CC2=C(OCO2)C=C1,254.0
129,NC(N)=NS(=O)(=O)C1=CC=C(N)C=C1,192.0
130,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,109.0
131,COC1=CC=C2[C@H]3CC4=C5C(O[C@@H]1[C@@]25CCN3C)=C(OC)C=C4,193.0
132,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,130.0
133,CCCC(CCC)C(O)=O,125.0
158,BrC1=CC=C(OC2=CC=C(Br)C(Br)=C2Br)C(Br)=C1Br,182.55
166,BrC1=CC(Br)=C(OC2=C(Br)C=C(Br)C(Br)=C2Br)C(Br)=C1Br,206.0
170,CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN1C=NC=N1,105.0
171,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,13.0
176,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10.0
177,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,65.0
178,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,130.0
182,OC(=O)\C=C(/F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,105.0
183,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,46.2
184,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,92.7
187,CC(C1CC1)C(O)(CN1C=NC=N1)C1=CC=C(Cl)C=C1,107.5
188,C[Si](CN1C=NC=N1)(C1=CC=C(F)C=C1)C1=CC=C(F)C=C1,54.0
189,CC(C)(C)C(O)C(CC1=CC=C(Cl)C=C1)N1C=NC=N1,166.0
191,FC(F)(F)CCl,-105.5
192,FC(F)(Cl)C(Cl)(Cl)Cl,40.6
193,FC(F)(Cl)C(F)(Cl)Cl,-35.0
194,FC(F)(Cl)C(F)(F)Cl,-94.0
195,FC(F)(F)C(F)(F)Cl,-99.4
196,FC(F)(F)C(F)(F)C(F)(F)F,-147.6
197,OCC(F)(F)C(F)F,-15.0
198,FC(F)(F)C(=O)C(F)(F)Cl,-133.0
199,FC1(F)C(F)(F)C(F)(F)C1(F)F,-40.1
200,FC(F)=C(F)F,-142.5
201,FC(F)=C(F)C(F)(F)F,-156.5
202,FC(Br)C(F)(F)F,-80.0
203,FC(F)(Br)C(F)(F)Br,-110.4
204,FC(F)(F)C(Cl)Br,-118.0
205,FC(F)(F)C(Cl)=C(Cl)C(F)(F)F,-67.3
206,FC(F)(F)C(Cl)Cl,-107.0
207,FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(C1(F)F)C(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C21F,-20.0
208,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C12F,-70.0
209,FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,-10.0
210,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-100.0
211,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-50.0
213,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-78.0
214,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(O)=O,134.0
215,FC1(F)C(Cl)=C(Cl)C(F)(F)C(F)(F)C1(F)F,-70.0
216,FC(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,-52.0
217,FC(F)C(F)(F)Cl,-117.0
218,FC(F)(F)C(Cl)=O,146.0
219,FC(F)C(F)(F)F,-103.0
220,FC(F)(Br)C(F)(Cl)Br,50.0
221,FC(F)(F)C(Cl)(Cl)Cl,14.2
222,FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,-119.0
223,FC(F)(F)C(F)(Cl)C(F)(Cl)C(F)(F)F,-68.0
224,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-128.2
225,FC(F)(N(=O)=O)C(F)(F)N(=O)=O,-41.5
226,COC(=O)C(F)(F)C(F)(F)C(F)(F)F,-86.0
227,FC(F)(F)C(F)(F)C1(F)OC(F)(F)C(F)(F)C1(F)F,-136.0
228,FC(F)CBr,-75.0
229,FC(F)C(F)F,-89.0
230,FC(F)(F)C(F)(F)N(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,-110.0
231,FC(=C(F)C(F)(F)F)C(F)(F)F,-129.0
232,FC(F)(F)C(Cl)(Cl)C(Cl)(Cl)C(F)(F)F,83.5
233,FC(F)(I)C(F)(F)C(F)(F)C(F)(F)I,-9.0
234,OC(=O)C(F)F,-1.0
235,CC(F)(F)CCl,-56.2
236,FC(F)(Cl)CBr,-76.0
237,FC(F)(F)CBr,-93.9
238,FC(F)(F)C(F)(F)C(Cl)Cl,-94.0
239,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)I,-68.0
241,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,66.0
242,CCOC(=O)C(F)(F)C(F)(F)F,75.5
243,FCC(F)F,-84.0
244,FC(F)(F)C(Cl)=C(Cl)Cl,114.6
245,FC(F)C(F)C(F)(F)F,-156.1
246,FC(F)(F)C(Cl)C(F)(F)F,-119.6
248,FC(F)(F)CCCl,-106.5
249,FC(F)CC(F)(F)F,-102.0
250,FC(Cl)C(F)(F)C(F)(F)Cl,-97.0
251,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,-50.0
252,FC(F)(Cl)C(Cl)(Cl)C(F)(F)Cl,-42.9
253,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-100.0
255,FC(F)C(F)(F)C(F)Cl,85.0
256,FC(F)(F)C#CC(F)(F)F,-117.4
257,FC1=C(F)C(F)(F)C1(F)F,-60.0
258,FC1(F)C(Cl)=C(Cl)C(F)(F)C1(F)F,-105.8
259,FC(F)(F)C(F)(F)C(F)(F)I,-95.0
260,FCC(F)(F)F,-101.0
262,FC(F)(F)C(Cl)(Cl)C(F)(F)Cl,-4.3
263,FC(F)(Cl)CCl,-101.2
264,FC(F)=C(Cl)C(F)(F)F,-130.0
265,FC(Cl)C(F)(F)F,-199.0
266,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,96.0
267,FC(F)(F)C(F)(F)C(Cl)(Cl)Cl,-80.0
268,FC(F)OC(Cl)C(F)(F)F,48.5
270,OCCC1=CC=CC=C1,-27.0
271,[H]N([H])C1=NC([H])=NN1[H],159.0
272,ClC(Cl)=C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,89.0
273,CC(=O)OC1CC2CCC1(C)C2(C)C,29.0
274,OC1=C(Br)C=C(C=C1Br)C1(OC(=O)C2=CC=CC=C12)C1=CC(Br)=C(O)C(Br)=C1,296.0
278,CC(C)(C1=CC(Br)=C(O)C(Br)=C1)C1=CC(Br)=C(O)C(Br)=C1,181.0
279,CC(=O)C1=C(C)C(=C(C(=C1C)N(=O)=O)C(C)(C)C)N(=O)=O,135.5
280,CC1=C(C(=C(C(C)=C1N(=O)=O)N(=O)=O)C(C)(C)C)N(=O)=O,110.0
281,COC1=C(C(C)=C(C=C1C(C)(C)C)N(=O)=O)N(=O)=O,85.0
282,CCC1=C(Br)C(Br)=C(Br)C(Br)=C1Br,138.0
284,OC1=C(C=C(Br)C=C1Br)C(=O)NC1=CC=C(Br)C=C1,227.0
285,BrC1=C(Br)C(Br)=C(Br)C(Br)=C1Br,326.0
286,CC1=C(Br)C(Br)=C(Br)C(Br)=C1Br,288.0
287,CCC1=C(C=C2C(=C1)C(C)(C)CCC2(C)C)C(C)=O,46.5
288,OC(=O)C1=C(O)C=CC(Br)=C1,169.8
289,OC1=C(Br)C=C(C=C1Br)N(=O)=O,145.0
290,CCCCCCC(C=O)=CC1=CC=CC=C1,39.2
291,COC(=O)C=CC1=CC=CC=C1,36.0
292,CCOC(=O)C=CC1=CC=CC=C1,7.0
293,O=COCC=CC1=CC=CC=C1,0.0
294,BrC1=CC(Br)=CC=C1,-7.0
295,OC1=C(Br)C=C(C=C1Br)C1(OS(=O)(=O)C2=CC=CC=C12)C1=CC(Br)=C(O)C(Br)=C1,279.0
297,CC1=C(C=C2C(=C1N(=O)=O)C(C)(C)CC2(C)C)N(=O)=O,132.5
298,OC1=C(Br)C=C(Br)C=C1Br,95.5
299,O=C(OCC=CC1=CC=CC=C1)C=CC1=CC=CC=C1,44.0
301,NC1=NC(=O)C2=C(N1)N=NN2,300.0
302,CC1=C(C)C(=C(C(=C1C)N(=O)=O)C(C)(C)C)N(=O)=O,135.5
303,NC(CC1=CC(Br)=C(O)C(Br)=C1)C(O)=O,245.0
304,CC(=O)OC1=C(C=CC(=C1)C(F)(F)F)C(O)=O,121.0
305,FC1=C(F)C(F)=C(Br)C(F)=C1F,-31.0
306,FC(F)(F)C1=NC(=NC(=N1)C(F)(F)F)C(F)(F)F,-24.8
307,FC(F)(F)C1=CC=CC(Br)=C1,1.0
308,OC1=C(C=C(Br)C=C1)C(=O)C(=O)C1=C(O)C=CC(Br)=C1,212.5
309,CC1=CC(Br)=C(N)C=C1,26.0
310,OC1=CC(Br)=C(O)C=C1,111.5
311,CC1=CC=C(Br)C(C)=C1,-17.0
312,CC1=C(N)C=CC(Br)=C1,59.5
313,CCOC1=CC=C(Br)C=C1,4.0
314,ClCC1=CC=C(Br)C=C1,50.0
315,NNC1=CC=C(Br)C=C1,108.0
316,OC(=O)C1=C(Br)C=CC=C1Br,150.5
317,COC1=C(Br)C=C(Br)C=C1Br,88.0
318,BrC1=CC=CC(Br)=C1Br,87.5
319,NC1=C(Br)C=CC=C1Br,87.5
320,BrC1=CC(Br)=C(Br)C(Br)=C1Br,160.5
321,CC1=C(O)C(Br)=CC(Br)=C1,58.0
322,OC(=O)C1=C(Br)C=C(Br)C=C1,174.0
323,OC1=CC(Br)=CC(Br)=C1,81.0
324,BrC1=CC(Br)=C(Br)C(Br)=C1,99.5
325,FC1=NC(F)=NC(F)=N1,-38.0
326,FC1=C(F)C(Br)=C(Br)C(F)=C1F,12.0
327,CN(C)P(=O)(N(C)C)N1N=C(N=C1N)C1=CC=CC=C1,167.5
328,BrC1=CC=C(C=O)C=C1,67.0
330,CC1C(C)(C)C2=CC3=C(C=C2C1(C)C)C(C)COC3,-5.0
331,FC1=C(Br)C=C(Br)C=C1,69.0
332,CC(=O)OC1=CC=C(Br)C=C1C(O)=O,60.0
333,OC1=C(Br)C=C(C=C1Br)C#N,190.0
334,CCCCCCCC(=O)OC1=C(Br)C=C(C=C1Br)C#N,45.5
335,FC1=C(F)C(C#N)=C(F)C(F)=C1C#N,198.0
336,C=CCOC(=O)C=CC1=CC=CC=C1,268.0
337,NC(=O)NC1=CC=C(Br)C=C1,226.0
338,BrC1=CC=C(C=C1)N=[N+]=[N-],20.0
339,COP(=S)(OC)OC1=CC(Cl)=C(Br)C=C1Cl,53.5
340,O=N(=O)C1=CC=C2NN=NC2=C1,217.0
341,CCOP(=S)(OCC)SCN1N=NC2=CC=CC=C2C1=O,53.0
342,CC1=C(C)C(Br)=C(Br)C(Br)=C1Br,262.0
343,CON(C)C(=O)NC1=CC=C(Br)C=C1,95.0
344,O=C1NNC(=O)N1,249.5
345,BrC1=CC=C(SC2=CC=C(Br)C=C2)C=C1,115.0
346,BrCC1=C(Br)C=CC=C1,31.0
347,CCC1=C(C(=O)C2=CC(Br)=C(O)C(Br)=C2)C2=C(O1)C=CC=C2,151.0
348,CN(CC1=CC(Br)=CC(Br)=C1N)C1CCCCC1,238.0
349,CC(C)(N1N=NC2=C1C=CC=C2)C(O)=O,181.5
350,OC1=C(Cl)C=C(Cl)C=C1Br,68.0
351,NC1=C(C=C(Br)C=C1)C(O)=O,219.5
352,ONC(=O)C1=C(O)C=CC(Br)=C1,232.0
353,C(N1C=NC=N1)C1=CC=CC=C1,49.0
354,OC(=O)C1=CC(=C(Br)C=C1)N(=O)=O,203.5
355,OC1=CC(O)=C(Br)C=C1,103.0
356,CC1=CC(C)=C(Br)C(C)=C1Br,65.5
357,OC1=CC=C(Br)C=C1N(=O)=O,92.0
358,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Br)C=C1,155.0
359,CON(C)C(=O)NC1=CC=C(Br)C(Cl)=C1,96.0
360,BrC1=C(Br)C(Br)=C(C(Br)=C1Br)C1=C(Br)C(Br)=C(Br)C(Br)=C1Br,375.0
361,OC1=C(Br)C=C(Br)C(Br)=C1Br,113.5
362,CC(C)(N1N=C2C=CC=CC2=N1)C(O)=O,152.5
363,ClC1=CC(Br)=CC(Cl)=C1,83.0
364,ClC1=CC=CC(=C1)N1CCN(CCCN2N=C3C=CC=CN3C2=O)CC1,87.0
365,OC1=CC=CC(O)=C1C(=O)NC1=CC=C(Br)C=C1,229.0
366,CCOP(=S)(OCC)OC1=NN(C=N1)C1=CC=CC=C1,3.5
367,CCCCCC1C(CC(=O)OC)CCC1=O,-10.0
369,BrC1=C(Br)C(Br)=C(C=C1)C1=C(Br)C(Br)=C(Br)C(Br)=C1Br,225.0
370,ClC1=CC2=C(C=C1)N1C=NN=C1CN=C2C1=CC=CC=C1,228.5
371,CC1=CC=C(Br)C=C1Br,-9.7
372,CC(=O)OC1CCC(CC1)C(C)(C)C,-50.0
374,CC1=CC=CC2=C1N1C=NN=C1S2,187.0
376,COC(=O)CS(=O)(=O)C1=CC=C(Br)C=C1,82.0
377,CC1=CC(=CC(Br)=C1)N(=O)=O,83.0
378,O=C1CCCCCCCCCCC(=O)OCCO1,18.0
379,CN(C1=C(Br)C=C(Br)C=C1Br)C1=C(C=C(C=C1C(F)(F)F)N(=O)=O)N(=O)=O,150.5
380,ClC1=CC(Cl)=C(OCC#C)C=C1N1N=C2CCCCN2C1=O,168.0
381,CC1=CC(O)=CC(Br)=C1,56.5
382,CCOC(=O)C(C)N1N=C2C=CC=CC2=N1,39.5
383,OC(CN1C=NC=N1)(C1=CC=C(F)C=C1)C1=CC=CC=C1F,130.0
384,CC1=C(F)C(F)=C(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)C(F)=C1F,44.6
385,CCCCC(O)(CN1C=NC=N1)C1=C(Cl)C=C(Cl)C=C1,111.0
386,CCC1=NN(CCCN2CCN(CC2)C2=CC=CC(Cl)=C2)C(=O)N1CCOC1=CC=CC=C1,83.5
